futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract,source,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
TX,2026-05-24,自營商,7809.0,65423778.0,8158.0,68471217.0,5609.0,47673964.0,4680.0,39796544.0,TX,institutional,,,,,,,,,,,
TX,2026-05-24,投信,1408.0,11958581.0,74.0,625599.0,47640.0,404511240.0,5593.0,47490163.0,TX,institutional,,,,,,,,,,,
TX,2026-05-24,外資,63776.0,533043599.0,65835.0,550237973.0,16747.0,142199476.0,63230.0,536911646.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-24,自營商,15967.0,33447167.0,15390.0,32208164.0,3382.0,7196230.0,10312.0,21929282.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-24,投信,4.0,8496.0,0.0,0.0,101.0,214398.0,92.0,195293.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-24,外資,146874.0,306675139.0,147686.0,308281665.0,4546.0,9650076.0,1754.0,3725405.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-25,,,,,,,,,,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-25,外資,116049.0,250478629.0,118087.0,254821240.0,4160.0,9124901.0,3650.0,8008923.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-25,投信,6.0,13166.0,0.0,0.0,101.0,221544.0,86.0,188641.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-25,自營商,12068.0,26074384.0,13538.0,29289080.0,3355.0,7376313.0,11755.0,25827253.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-25,自營商,7287.0,63265355.0,6488.0,56373085.0,6816.0,59854427.0,5088.0,44704823.0,TX,institutional,,,,,,,,,,,
TX,2026-05-25,外資,50077.0,432975709.0,55015.0,475944197.0,16232.0,142420194.0,67690.0,593936349.0,TX,institutional,,,,,,,,,,,
TX,2026-05-25,投信,1227.0,10760998.0,256.0,2244240.0,48466.0,425240684.0,5448.0,47800752.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-26,投信,0.0,0.0,0.0,0.0,101.0,221513.0,86.0,188615.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-26,投信,466.0,4086302.0,148.0,1296744.0,48784.0,427972275.0,5448.0,47794214.0,TX,institutional,,,,,,,,,,,
TX,2026-05-26,自營商,5816.0,51111226.0,5563.0,48875469.0,7482.0,65691097.0,5489.0,48221111.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-26,,,,,,,,,,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,外資,89406.0,196597029.0,92430.0,203248670.0,2648.0,5807594.0,5455.0,11966892.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-26,外資,42871.0,376915562.0,45745.0,402170266.0,15813.0,138725005.0,70204.0,615914522.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-26,自營商,8619.0,18961088.0,11125.0,24465850.0,2360.0,5192321.0,13321.0,29262510.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-27,,,,,,,,,,MTX,daily,202609/202612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-27,外資,139857.0,311973095.0,135764.0,302759174.0,3876.0,8681143.0,2536.0,5682944.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-27,投信,3.0,6719.0,9.0,20129.0,92.0,206052.0,83.0,185895.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-27,自營商,8693.0,77589063.0,9070.0,81082613.0,6929.0,62131091.0,5268.0,47262502.0,TX,institutional,,,,,,,,,,,
TX,2026-05-27,投信,2004.0,17932366.0,67.0,600107.0,50621.0,453503415.0,5348.0,47911662.0,TX,institutional,,,,,,,,,,,
TX,2026-05-27,外資,65947.0,588669397.0,67896.0,605976532.0,15979.0,143153197.0,72281.0,647583690.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-27,自營商,17833.0,39812653.0,16641.0,37106747.0,2863.0,6430516.0,12737.0,28578192.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-28,,,,,,,,,,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-30,投信,7.0,15868.0,0.0,0.0,92.0,208449.0,80.0,181260.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-30,投信,2230.0,20205044.0,71.0,642353.0,52228.0,473342364.0,5302.0,48052026.0,TX,institutional,,,,,,,,,,,
TX,2026-05-30,外資,67169.0,601685342.0,70680.0,633283794.0,15766.0,142887696.0,76416.0,692587925.0,TX,institutional,,,,,,,,,,,
TX,2026-05-30,自營商,5973.0,53756130.0,7784.0,69880982.0,6682.0,60614363.0,4608.0,41831653.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-30,外資,150033.0,335550517.0,145500.0,325453732.0,3432.0,7776083.0,3110.0,7049546.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-30,自營商,14318.0,32077873.0,13227.0,29639360.0,3491.0,7928321.0,12825.0,29109839.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-31,外資,67169.0,601685342.0,70680.0,633283794.0,15766.0,142887696.0,76416.0,692587925.0,TX,institutional,,,,,,,,,,,
MTX,2026-05-31,自營商,14318.0,32077873.0,13227.0,29639360.0,3491.0,7928321.0,12825.0,29109839.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-31,投信,7.0,15868.0,0.0,0.0,92.0,208449.0,80.0,181260.0,MTX,institutional,,,,,,,,,,,
MTX,2026-05-31,外資,150033.0,335550517.0,145500.0,325453732.0,3432.0,7776083.0,3110.0,7049546.0,MTX,institutional,,,,,,,,,,,
TX,2026-05-31,投信,2230.0,20205044.0,71.0,642353.0,52228.0,473342364.0,5302.0,48052026.0,TX,institutional,,,,,,,,,,,
TX,2026-05-31,自營商,5973.0,53756130.0,7784.0,69880982.0,6682.0,60614363.0,4608.0,41831653.0,TX,institutional,,,,,,,,,,,
MTX,2026-06-01,投信,1.0,2303.0,2.0,4603.0,90.0,207185.0,79.0,181862.0,MTX,institutional,,,,,,,,,,,
MTX,2026-06-01,外資,163406.0,372770377.0,165712.0,378029933.0,3298.0,7592255.0,5547.0,12773568.0,MTX,institutional,,,,,,,,,,,
TX,2026-06-01,外資,67306.0,614601442.0,71284.0,651010799.0,16134.0,148565866.0,80807.0,744129772.0,TX,institutional,,,,,,,,,,,
MTX,2026-06-01,,,,,,,,,,MTX,daily,202609/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
TX,2026-06-01,投信,1663.0,15325116.0,170.0,1567829.0,53713.0,494600047.0,5294.0,48748211.0,TX,institutional,,,,,,,,,,,
MTX,2026-06-01,自營商,14227.0,32504630.0,15427.0,35246696.0,3188.0,7364111.0,13734.0,31681885.0,MTX,institutional,,,,,,,,,,,
TX,2026-06-01,自營商,7196.0,65908847.0,6817.0,62487825.0,7217.0,66526464.0,4761.0,43926867.0,TX,institutional,,,,,,,,,,,
MTX,2026-06-02,,,,,,,,,,MTX,daily,202609/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-06-02,投信,0.0,0.0,0.0,0.0,90.0,207464.0,79.0,182107.0,MTX,institutional,,,,,,,,,,,
TX,2026-06-02,外資,72749.0,669381423.0,75092.0,690930652.0,15432.0,142293027.0,82450.0,760288172.0,TX,institutional,,,,,,,,,,,
TX,2026-06-02,投信,1408.0,12981051.0,62.0,569613.0,55075.0,507824545.0,5310.0,48961386.0,TX,institutional,,,,,,,,,,,
TX,2026-06-02,自營商,7546.0,69314961.0,7439.0,68414885.0,7664.0,70749158.0,5100.0,47123735.0,TX,institutional,,,,,,,,,,,
MTX,2026-06-02,自營商,16075.0,37021358.0,16830.0,38736533.0,2374.0,5499493.0,13679.0,31606921.0,MTX,institutional,,,,,,,,,,,
MTX,2026-06-02,外資,179620.0,413109001.0,180744.0,415713923.0,2292.0,5283495.0,5602.0,12918053.0,MTX,institutional,,,,,,,,,,,
