stock_id,price,pe,eps_ttm,gross_margin,market_cap,updated,revenue_ttm
1101,24.15,,-1.6,18.83,180960346112,2026-06-26,148016021504
1102,35.75,11.956522,2.99,15.58,126789632000,2026-06-26,69273313280
1103,13.2,15.714286,0.84,17.36,8695566336.0,2026-05-28,2951251968.0
1104,27.2,10.666667,2.55,25.02,18677745664.0,2026-05-28,7750608896.0
1108,13.55,6.273148,2.16,18.31,5484200448.0,2026-05-28,4218865920.0
1109,14.45,14.029126,1.03,15.32,4929746432.0,2026-05-28,4299346944.0
1110,14.0,38.888885,0.36,15.16,7986481664.0,2026-05-28,2693675008.0
1201,12.0,30.0,0.4,27.15,6072756224.0,2026-05-28,21842083840.0
1203,43.0,23.756907,1.81,33.97,10221363200.0,2026-05-28,5435534848.0
1210,55.2,12.777778,4.32,14.37,46186246144,2026-06-26,102656983040
1213,8.16,,-0.85,-1.5,462040640.0,2026-05-28,308307008.0
1215,114.0,10.982658,10.38,20.33,33606062080,2026-06-26,28910858240
1216,74.6,21.686047,3.44,33.24,423878328320,2026-06-26,678615908352
1217,9.76,23.238096,0.42,27.57,4826450944,2026-06-26,5016983040
1218,17.75,11.163522,1.59,17.67,8632179712,2026-06-26,10269700096
1219,12.5,27.777779,0.45,8.3909996,4265479680,2026-06-11,
1220,11.65,145.625,0.08,10.91,2055047680.0,2026-05-28,3260224000.0
1225,29.35,18.117285,1.62,9.328,7110573568,2026-06-11,
1227,28.85,21.691729,1.33,24.111,26207916032,2026-06-11,
1229,41.3,16.07004,2.57,26.464,73874219008,2026-06-11,
1231,84.7,22.23097,3.81,20.92,25279092736.0,2026-05-28,13089773568.0
1232,149.5,18.143204,8.24,13.661999999999999,23916263424,2026-06-11,
1233,28.0,37.333332,0.75,60.056,2535372032,2026-06-11,
1234,35.2,17.6,2.0,29.097,14145859584,2026-06-11,
1235,40.8,,-0.03,26.99,1854768000.0,2026-05-28,206328000.0
1236,25.65,,-0.43,25.346999999999998,2223188224,2026-06-11,
1240,57.3,11.838842,4.84,11.37,2534503680.0,2026-05-28,2750081024.0
1256,175.0,15.709156,11.14,29.009,6260134912,2026-06-11,
1259,57.9,23.632652,2.45,22.53,1875352064.0,2026-05-28,6062167040.0
1264,270.5,13.246817,20.42,32.33,10022565888.0,2026-05-28,6874649088.0
1268,168.0,16.650148,10.09,46.18,7093586432.0,2026-05-28,6479834112.0
1294,77.3,17.026432,4.54,36.97,2340025600.0,2026-05-28,831916992.0
1295,50.9,9.640151,5.28,52.11,1754777600.0,2026-05-28,1019488000.0
1301,52.2,,-1.08,2.76,332291702784,2026-06-26,170194321408
1303,148.0,259.64914,0.57,9.56,1173761687552,2026-06-26,262956498944
1304,13.2,,-2.6,2.85,14154320896,2026-06-26,42767151104
1305,13.0,,-1.58,-2.03,7553649664,2026-06-26,9432727552
1307,34.35,12.09507,2.84,31.55,13665047552,2026-06-26,10836738048
1308,13.45,,-1.76,4.018,7985842688,2026-06-11,
1309,15.15,,-1.07,2.386,6023442944,2026-06-11,
1310,8.43,,-1.37,-2.094,4449942528,2026-06-11,
1312,12.85,,-3.97,-6.396,14454249472,2026-06-11,
1313,11.05,,-1.17,2.8080001,14705849344,2026-06-11,
1314,7.76,,-0.72,-12.479,29370435584,2026-06-11,
1315,61.6,39.741936,1.55,14.15,5884463104.0,2026-05-28,2141915008.0
1316,10.2,,-0.52,34.48,3627608832.0,2026-05-28,5540267008.0
1319,102.0,15.863142,6.43,31.923000000000002,60330651648,2026-06-11,
1321,31.0,,-1.25,7.987,6841244160,2026-06-11,
1323,20.15,77.5,0.26,15.24,1839191168.0,2026-05-28,2018488064.0
1324,10.25,,-0.82,13.53,770000512.0,2026-05-28,719008000.0
1325,27.0,,-0.7,-21.59,2302586880.0,2026-05-28,265908000.0
1326,54.2,,-0.99,4.36,317016702976,2026-06-26,289874345984
1336,13.1,18.714287,0.7,15.35,1016748864.0,2026-05-28,2495319040.0
1337,4.75,,-1.74,-17.09,1277536256.0,2026-05-28,633353984.0
1338,16.1,,-2.24,23.31,1300219904.0,2026-05-28,5089022976.0
1339,44.85,18.609957,2.41,30.63,3324461312.0,2026-05-28,1561047040.0
1340,5.42,,-2.36,-1.7317901,828842688.0,2026-05-28,40648000.0
1341,61.7,16.675676,3.7,23.3,3260906752.0,2026-05-28,2558102016.0
1342,91.4,16.350626,5.59,26.55,7129282560.0,2026-05-28,2999246080.0
1402,28.5,18.387096,1.55,20.03,152534728704,2026-06-26,251639414784
1409,20.75,17.436974,1.19,27.94,33198284800.0,2026-05-28,38896746496.0
1410,26.15,45.08621,0.58,28.39,1621299968.0,2026-05-28,188287008.0
1413,9.25,20.555555,0.45,4.52,1222039680.0,2026-05-28,1956925952.0
1414,14.25,75.0,0.19,12.58,2821499904.0,2026-05-28,448187008.0
1416,11.05,13.641975,0.81,36.66,2048029184.0,2026-05-28,384248992.0
1417,8.06,13.000001,0.62,53.54,1530932608.0,2026-05-28,403828000.0
1418,18.0,,-1.29,1.1855301,977598016.0,2026-05-28,3137000.0
1419,63.8,15.560976,4.1,26.17,19091320832.0,2026-05-28,5122480128.0
1423,41.7,9.630486,4.33,-3.95,4155321600.0,2026-05-28,88232000.0
1432,16.2,2.69103,6.02,36.76,1749600128.0,2026-05-28,1193971968.0
1434,14.95,29.313726,0.51,11.16,25152954368.0,2026-05-28,26835337216.0
1435,12.85,,-0.41,64.69,1796173056.0,2026-05-28,5982000.0
1436,44.25,9.257321,4.78,48.95,8591225856.0,2026-05-28,3652404992.0
1437,28.2,11.75,2.4,54.51,5692762624.0,2026-05-28,926710016.0
1438,19.9,12.060606,1.65,32.22,2212994560.0,2026-05-28,1636359936.0
1439,25.5,7.943925,3.21,26.2,2345999872.0,2026-05-28,752611008.0
1440,11.9,,-0.15,7.92,19716110336.0,2026-05-28,13601001472.0
1441,9.22,,-0.45,4.71,661479680.0,2026-05-28,1410620032.0
1442,25.55,8.4323435,3.03,48.93,9356716032.0,2026-05-28,3330041088.0
1443,25.2,22.300886,1.13,48.73,3410643968.0,2026-05-28,950521984.0
1444,6.01,,-0.78,2.74,5916184064.0,2026-05-28,7657757184.0
1445,11.6,,-0.87,12.78,1515725696.0,2026-05-28,740723008.0
1446,15.9,9.814815,1.62,43.98,2189588992.0,2026-05-28,906523008.0
1447,5.73,,-0.97,0.89,4833496576.0,2026-05-28,28993081344.0
1449,12.15,101.25,0.12,7.67,1544442112.0,2026-05-28,2810024960.0
1451,16.45,9.346591,1.76,12.49,3257100032.0,2026-05-28,6438470144.0
1452,10.4,,-0.41,1.66,1379466368.0,2026-05-28,1334398976.0
1453,11.2,280.0,0.04,2.8533802,1268328832.0,2026-05-28,1480000.0
1454,12.65,,-1.12,1.1,1544817920.0,2026-05-28,1426580992.0
1455,8.61,,-0.99,-1.29,4577837056.0,2026-05-28,5608268800.0
1456,12.9,3.7941175,3.4,39.04,1208987904.0,2026-05-28,884105984.0
1457,13.95,11.822034,1.18,8.53,3257590016.0,2026-05-28,2769081088.0
1459,11.65,8.381295,1.39,16.97,3698700032.0,2026-05-28,1049489024.0
1460,6.93,,-0.27,15.15,4674048512.0,2026-05-28,7013485056.0
1463,17.7,136.15385,0.13,-35.5,3037167872.0,2026-05-28,220806000.0
1464,10.1,28.857145,0.35,19.02,4272572928.0,2026-05-28,12098325504.0
1465,12.15,,-0.33,-3.31,1258828544.0,2026-05-28,372263008.0
1466,14.1,,-1.07,6.45,1567318272,2026-06-26,2471400960
1467,6.88,,-0.45,19.58,1587042048.0,2026-05-28,5088781824.0
1468,12.0,57.14286,0.21,12.5,1924859904.0,2026-05-28,708579008.0
